TIME,YIELDS
56,0.00753976
56.08,0.00753962
56.17,0.00753947
56.25,0.00753933
56.33,0.00753919
56.42,0.00753905
56.5,0.00753891
56.58,0.00753877
56.67,0.00753863
56.75,0.00753849
56.83,0.00753835
56.92,0.00753821
57,0.00753808
57.08,0.00753794
57.17,0.0075378
57.25,0.00753766
57.33,0.00753753
57.42,0.00753739
57.5,0.00753726
57.58,0.00753712
57.67,0.00753699
57.75,0.00753685
57.83,0.00753672
57.92,0.00753658
58,0.00753645
58.08,0.00753632
58.17,0.00753619
58.25,0.00753605
58.33,0.00753592
58.42,0.00753579
58.5,0.00753566
58.58,0.00753553
58.67,0.0075354
58.75,0.00753527
58.83,0.00753514
58.92,0.00753501
59,0.00753488
59.08,0.00753475
59.17,0.00753462
59.25,0.0075345
59.33,0.00753437
59.42,0.00753424
59.5,0.00753411
59.58,0.00753399
59.67,0.00753386
59.75,0.00753374
59.83,0.00753361
59.92,0.00753349
60,0.00753336
60.08,0.00753324
60.17,0.00753311
60.25,0.00753299
60.33,0.00753287
60.42,0.00753274
60.5,0.00753262
60.58,0.0075325
60.67,0.00753238
60.75,0.00753226
60.83,0.00753214
60.92,0.00753201
61,0.00753189
61.08,0.00753177
61.17,0.00753165
61.25,0.00753153
61.33,0.00753142
61.42,0.0075313
61.5,0.00753118
61.58,0.00753106
61.67,0.00753094
61.75,0.00753082
61.83,0.00753071
61.92,0.00753059
62,0.00753047
62.08,0.00753036
62.17,0.00753024
62.25,0.00753012
62.33,0.00753001
62.42,0.00752989
62.5,0.00752978
62.58,0.00752966
62.67,0.00752955
62.75,0.00752944
62.83,0.00752932
62.92,0.00752921
63,0.0075291
63.08,0.00752898
63.17,0.00752887
63.25,0.00752876
63.33,0.00752865
63.42,0.00752854
63.5,0.00752843
63.58,0.00752831
63.67,0.0075282
63.75,0.00752809
63.83,0.00752798
63.92,0.00752787
64,0.00752776
64.08,0.00752766
64.17,0.00752755
64.25,0.00752744
64.33,0.00752733
64.42,0.00752722
64.5,0.00752711
64.58,0.00752701
64.67,0.0075269
64.75,0.00752679
64.83,0.00752669
64.92,0.00752658
65,0.00752647
65.08,0.00752637
65.17,0.00752626
65.25,0.00752616
65.33,0.00752605
65.42,0.00752595
65.5,0.00752584
65.58,0.00752574
65.67,0.00752563
65.75,0.00752553
65.83,0.00752543
65.92,0.00752532
66,0.00752522
66.08,0.00752512
66.17,0.00752501
66.25,0.00752491
66.33,0.00752481
66.42,0.00752471
66.5,0.00752461
66.58,0.00752451
66.67,0.00752441
66.75,0.0075243
66.83,0.0075242
66.92,0.0075241
67,0.007524
67.08,0.0075239
67.17,0.00752381
67.25,0.00752371
67.33,0.00752361
67.42,0.00752351
67.5,0.00752341
67.58,0.00752331
67.67,0.00752321
67.75,0.00752312
67.83,0.00752302
67.92,0.00752292
68,0.00752283
68.08,0.00752273
68.17,0.00752263
68.25,0.00752254
68.33,0.00752244
68.42,0.00752234
68.5,0.00752225
68.58,0.00752215
68.67,0.00752206
68.75,0.00752196
68.83,0.00752187
68.92,0.00752177
69,0.00752168
69.08,0.00752159
69.17,0.00752149
69.25,0.0075214
69.33,0.00752131
69.42,0.00752121
69.5,0.00752112
69.58,0.00752103
69.67,0.00752093
69.75,0.00752084
69.83,0.00752075
69.92,0.00752066
70,0.00752057
70.08,0.00752048
70.17,0.00752038
70.25,0.00752029
70.33,0.0075202
70.42,0.00752011
70.5,0.00752002
70.58,0.00751993
70.67,0.00751984
70.75,0.00751975
70.83,0.00751966
70.92,0.00751957
71,0.00751949
71.08,0.0075194
71.17,0.00751931
71.25,0.00751922
71.33,0.00751913
71.42,0.00751904
71.5,0.00751896
71.58,0.00751887
71.67,0.00751878
71.75,0.00751869
71.83,0.00751861
71.92,0.00751852
72,0.00751843
72.08,0.00751835
72.17,0.00751826
72.25,0.00751818
72.33,0.00751809
72.42,0.00751801
72.5,0.00751792
72.58,0.00751783
72.67,0.00751775
72.75,0.00751767
72.83,0.00751758
72.92,0.0075175
73,0.00751741
73.08,0.00751733
73.17,0.00751724
73.25,0.00751716
73.33,0.00751708
73.42,0.00751699
73.5,0.00751691
73.58,0.00751683
73.67,0.00751675
73.75,0.00751666
73.83,0.00751658
73.92,0.0075165
74,0.00751642
74.08,0.00751634
74.17,0.00751625
74.25,0.00751617
74.33,0.00751609
74.42,0.00751601
74.5,0.00751593
74.58,0.00751585
74.67,0.00751577
74.75,0.00751569
74.83,0.00751561
74.92,0.00751553
75,0.00751545
75.08,0.00751537
75.17,0.00751529
75.25,0.00751521
75.33,0.00751513
75.42,0.00751505
75.5,0.00751497
75.58,0.0075149
75.67,0.00751482
75.75,0.00751474
75.83,0.00751466
75.92,0.00751458
76,0.00751451
76.08,0.00751443
76.17,0.00751435
76.25,0.00751427
76.33,0.0075142
76.42,0.00751412
76.5,0.00751404
76.58,0.00751397
76.67,0.00751389
76.75,0.00751382
76.83,0.00751374
76.92,0.00751366
77,0.00751359
77.08,0.00751351
77.17,0.00751344
77.25,0.00751336
77.33,0.00751329
77.42,0.00751321
77.5,0.00751314
77.58,0.00751306
77.67,0.00751299
77.75,0.00751292
77.83,0.00751284
77.92,0.00751277
