PolicyIdentifier;ProductName;InitialCharge;AccountName;Currency;IssueDate;NBDate;InvestmentDate;DeferralPeriod;Duration;AnnuityCommencementDate;PremiumPaymentMode;Premium;AmountInvested;WithdrawalMode;ConversionRate;InvestmentProtection;BenefitIncreaseFactor;WithdrawalModeDiscount;Guarantee;AccumulatedWithdrawalAmount;PerformanceBonusAmount;AccountValueBeforeBefore;AccountValueAfterBefore;AccountValue;BaseCapital;FundUnitsBeforeBefore;FundUnitsAfterBefore;FundUnits;NavDate;Nav
195002932;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;0;240;20141001;Single;80808.0;76767.6;monthly;0.05;1.0137;1.0;0.0;4095.6;3754.3;0.0;69651.79;69310.48;69225.15;78157.7;656.102;652.887;652.0832;20150901;106.16
195002933;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;0;240;20141001;Single;120057.0;114054.15;monthly;0.05;1.0137;1.0;0.0;6085.2;5578.1;0.0;103481.84;102974.73;102847.97;116125.9;974.7724;969.9956;968.8015;20150901;106.16
195002934;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;0;240;20141001;Single;200939.0;190892.05;yearly;0.05;1.0138;1.0;0.0;10185.5;0.0;0.0;181474.36;181474.36;181252.3;203710.0;1709.442;1709.442;1707.3502;20150901;106.16
195002935;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141101;20141101;20141101;0;240;20141101;Single;250000.0;237500.0;monthly;0.05;1.0138;1.0;0.0;12672.0;10560.0;0.0;218932.93;217876.93;217609.21;242880.0;2062.2921;2052.3449;2049.823;20150901;106.16
195002936;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;120;300;20241001;Single;250000.0;237500.0;monthly;0.06666667;1.0549;1.0;0.0;17582.4;0.0;0.0;225651.36;225651.36;225362.96;263736.0;2125.578;2125.578;2122.8613;20150901;106.16
195002938;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;36;300;20171001;Single;21726.0;20639.7;yearly;0.045454547;1.0439;1.0;0.0;1030.9;0.0;0.0;19623.33;19623.33;19599.48;22679.8;184.8467;184.8467;184.6221;20150901;106.16
195002939;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;12;240;20151001;Single;200000.0;190000.0;monthly;0.05263158;1.0164;1.0;0.0;10699.2;0.0;0.0;180611.31;180611.31;180388.9;203284.8;1701.3123;1701.3123;1699.2172;20150901;106.16
195002940;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;0;240;20141001;Single;201778.0;191689.1;semi-annually;0.05;1.0138;1.0;0.0;10228.0;5114.0;0.0;177222.2;177222.2;177004.63;199446.0;1669.3877;1669.3877;1667.3383;20150901;106.16
195002941;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;0;240;20141001;Single;60839.0;57797.05;monthly;0.05;1.0134;1.0;0.0;3082.8;2825.9;0.0;52440.25;52183.35;52119.12;58830.1;493.9737;491.5538;490.9488;20150901;106.16
195002942;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;0;240;20141001;Single;71111.0;67555.45;monthly;0.05;1.0135;1.0;0.0;3603.6;3303.3;0.0;61293.93;60993.63;60918.55;68768.7;577.3731;574.5444;573.8371;20150901;106.16
195002943;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;0;240;20141001;Single;80808.0;76767.6;monthly;0.05;1.0137;1.0;0.0;4095.6;3754.3;0.0;69651.79;69310.48;69225.15;78157.7;656.102;652.887;652.0832;20150901;106.16
195002944;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141101;20141101;20141101;60;240;20191101;Single;30241.0;28728.95;monthly;0.06666667;1.0273;1.0;0.0;2071.2;0.0;0.0;27592.71;27592.71;27557.64;31068.0;259.9163;259.9163;259.5859;20150901;106.16
195002945;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;0;300;20141001;Single;47327.0;44960.65;yearly;0.04;1.0275;1.0;0.0;1945.1;0.0;0.0;42755.54;42755.54;42704.36;48627.5;402.7462;402.7462;402.2641;20150901;106.16
195002946;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;60;300;20191001;Single;200000.0;190000.0;quarterly;0.05;1.055;1.0;0.0;10550.0;0.0;0.0;180615.28;180615.28;180393.24;211000.0;1701.3497;1701.3497;1699.2581;20150901;106.16
195002947;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;0;240;20141001;Single;200000.0;190000.0;yearly;0.05;1.0138;1.0;0.0;10138.0;0.0;0.0;180626.35;180626.35;180405.32;202760.0;1701.4539;1701.4539;1699.3719;20150901;106.16
195002948;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141101;20141101;20141101;0;240;20141101;Single;36283.0;34468.85;yearly;0.05;1.0138;1.0;0.0;1839.1;0.0;0.0;33121.35;33121.35;33080.86;36782.0;311.9946;311.9946;311.6132;20150901;106.16
195002949;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141101;20141101;20141101;0;240;20141101;Single;24177.0;22968.15;yearly;0.05;1.0138;1.0;0.0;1225.5;0.0;0.0;22070.24;22070.24;22043.26;24510.0;207.896;207.896;207.6419;20150901;106.16
195002950;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;0;240;20141001;Single;80000.0;76000.0;yearly;0.05;1.0138;1.0;0.0;4055.2;0.0;0.0;72250.55;72250.55;72162.14;81104.0;680.5817;680.5817;679.7489;20150901;106.16
195002951;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;24;240;20161001;Single;35000.0;33250.0;monthly;0.055555556;1.0189;1.0;0.0;1981.2;0.0;0.0;31604.07;31604.07;31564.87;35661.6;297.7022;297.7022;297.333;20150901;106.16
195002952;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141101;20141101;20141101;24;240;20161101;Single;250000.0;237500.0;monthly;0.055555556;1.0193;1.0;0.0;14156.4;0.0;0.0;228179.17;228179.17;227896.58;254815.2;2149.3893;2149.3893;2146.7274;20150901;106.16
195002953;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141201;20141201;20141201;36;240;20171201;Single;160000.0;152000.0;monthly;0.05882353;1.0219;1.0;0.0;9618.0;0.0;0.0;144191.74;144191.74;144011.49;163506.0;1358.2492;1358.2492;1356.5513;20150901;106.16
195002954;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;60;264;20191001;Single;120000.0;114000.0;monthly;0.05882353;1.0384;1.0;0.0;7329.6;0.0;0.0;108342.41;108342.41;108206.7;124603.2;1020.5577;1020.5577;1019.2794;20150901;106.16
195002955;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;0;240;20141001;Single;90000.0;85500.0;monthly;0.05;1.0136;1.0;0.0;4561.2;4181.1;0.0;77574.98;77194.88;77099.85;87042.9;730.7364;727.156;726.2608;20150901;106.16
195002956;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;60;240;20191001;Single;150000.0;142500.0;monthly;0.06666667;1.0274;1.0;0.0;10274.4;0.0;0.0;135398.18;135398.18;135225.81;154116.0;1275.4162;1275.4162;1273.7925;20150901;106.16
195002958;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141101;20141101;20141101;60;300;20191101;Single;136364.0;129545.8;quarterly;0.05;1.055;1.0;0.0;7193.2;0.0;0.0;124474.62;124474.62;124321.8;143864.0;1172.519;1172.519;1171.0795;20150901;106.16
195002959;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141101;20141101;20141101;12;240;20151101;Single;110000.0;104500.0;monthly;0.05263158;1.0165;1.0;0.0;5884.8;0.0;0.0;100407.22;100407.22;100283.74;111811.2;945.8103;945.8103;944.6471;20150901;106.16
195002960;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;12;240;20151001;Single;169000.0;160550.0;monthly;0.05263158;1.0164;1.0;0.0;9040.8;0.0;0.0;152616.55;152616.55;152428.62;171775.2;1437.6088;1437.6088;1435.8385;20150901;106.16
